misty	"groove" holmes	7/16/66 Prestige	
what's forever for	michael murphey	liberty	1466
wildfire	michael murphey	epic	50084
i've just begun to care	michael nesmith & the first national band	rca	0540
joanne	michael nesmith & the first national band	rca	0368
nevada fighter	michael nesmith & the first national band	rca	0453
silver moon	michael nesmith & the first national band	rca	0399
long lonesome highway	michael parks	mgm	14104
no myth	michael penn	rca	9111
this & that	michael penn	rca	2512
good morning	michael redway	philips	40720
automatic man	michael sembello	warner brothers	29485
maniac	michael sembello	casablanca	812516
falling in love again	michael stanley band	emi america	8090
he can’t love you	michael stanley band	emi america	8063
lover	michael stanley band	emi america	8064
my town	michael stanley band	emi america	8178
for you	michael w. smith	reunion	19103
i will be here for you	michael w. smith	reunion	19139
place in this world	michael w. smith	reunion	19019
somebody love me	michael w. smith	reunion	62465
feel my love	michael wycoff	Cotillion	46014
do it with feeling	michael zager and the moon band	Bang	720
let’s all chant	michael zager band	private stock	45184
brian's song	michel legrand	bell	45171
if you only believe (jesus for tonite)	michel polnareff	atlantic	3314
nicety	michel'le	ruthless	98980
no more lies	michel'le	ruthless	99149
something in my heart	michel'le	Ruthless	98885
if?	michel'le (duet with michael holmes)	Ruthless	98862
l. david sloane	michelle lee	columbia	44413
anchorage	michelle shocked	mercury	870611
blame it on the boogie	mick jackson	atco	7091
dancing in the street	mick jagger	emi america	8288
just another night	mick jagger	columbia	04743
let’s work	mick jagger	columbia	07306
lucky in love	mick jagger	columbia	04893
ruthless people	mick jagger	epic	06211
sweet thing	mick jagger	atlantic	87410
throwaway	mick jagger	columbia	07653
baby you're so fine	mickey & sylvia	Willow	23000
baby you're so fine	mickey and sylvia	willow	23000
bewildered	mickey and sylvia	vik	0324
dearest	mickey and sylvia	vik	0267
love is strange	mickey and sylvia	groove	0175
there oughta be a law	mickey and sylvia	vik	0267
what would i do	mickey and sylvia	rca	7811
don't do it	mickey dolenz	challenge	59353
that was then this is now	mickey dolenz	arista	8505
room full of roses	mickey gilley	playboy	50056
stand by me	mickey gilley	full moon	46640
true love ways	mickey gilley	epic	50876
you don't know me	mickey gilley	epic	02172
shaggy dog	mickey lee lane	swan	4183
little dipper	mickey mozart quintet	roulette	4148
shout bamalama	mickey murray	sss international	715
an american trilogy	mickey newbury	elektra	45750
sunshine	mickey newbury	elektra	45853
dr. ben basey	mickey shorr and the cutups	tuba	8001
sing	mickey thomas	columbia	68558
instant replay	mico wave	Columbia	07702
dear god	midge ure	chrysalis	43319
beds are burning	midnight oil	columbia	07433
blue sky mine	midnight oil	columbia	73250
the dead heart	midnight oil	columbia	07964
bodysnatcher	midnight star	Sutra	109
do it (one more time)	midnight star	Solar	74602
engine no. 9	midnight star	Solar	69501
freak-a-zoid	midnight star	solar	69828
headlines	midnight star	solar	69547
hot spot	midnight star	Solar	48012
i've been watching you	midnight star	Solar	47933
midas touch	midnight star	solar	69525
no parking (on the dance floor)	midnight star	Solar	69753
operator	midnight star	solar	69684
scientific love	midnight star	solar	69659
snake in the grass	midnight star	Solar	44284
wet my whistle	midnight star	solar	69790
don't rock the boat	midnight star feat. ecstacy of whodini	Solar	70027
mighty high	mighty clouds of joy	abc	12164
hymn no. 5	mighty hannibal	shurfine	021
heaven is on the seventh floor	mighty pope	private stock	45157
fannie may	mighty sam	amy	963
so many men, so little time	miguel brown	TSR	828
a song of joy	miguel rios	a&m	1193
all i need is a miracle	mike + the mechanics	atlantic	89450
nobody's perfect	mike + the mechanics	atlantic	88990
seeing is believing	mike + the mechanics	atlantic	88921
silent running	mike + the mechanics	atlantic	89488
taken in	mike + the mechanics	atlantic	89404
the living years	mike + the mechanics	atlantic	88964
word of mouth	mike + the mechanics	atlantic	87714
don't hold back	mike and brenda sutton	SAM	5028
we'll make it	mike and brenda sutton	SAM	5023
close to cathy	mike clifford	United Artists	489
one boy too late	mike clifford	United Artists	588
what to do with laurie	mike clifford	United Artists	557
burning bridges	mike curb congregation	MGM	14151
it’s a small, small world	mike curb congregation	MGM	14494
ain't no stoppin' us now	mike davis	Jive	42086
when only a friend will do	mike davis	Jive	42038
pass me by	mike douglas	epic	9760
the men in my little girl's life	mike douglas	epic	9876
just one minute more	mike finnegan	columbia	10741
louisiana	mike kennedy	abc	11309
tubular bells	mike oldfield	virgin	55100
goodnight my love	mike pinera	spector	00003
manhattan spiritual	mike post	mgm	14829
the rockford files	mike post	mgm	14772
the theme from hill street blues	mike post	elektra	47186
theme from baa baa black sheep	mike post	epic	50325
theme from magnum p.i.	mike post	elektra	47400
a house a car and a wedding ring	mike preston	london	1834
circus	mike quatro	evolution	1062
1927 kansas city	mike reilly	paramount	0053
almost paradise...love theme from "footloose	mike reno and ann wilson	columbia	04418
spooky	mike sharpe	liberty	55922
lonely soldier	mike williams	atlantic	2339
ain't nobody like you	miki howard	giant	18849
ain't nuthin' in the world	miki howard	Atlantic	88826
baby, be mine	miki howard	Atlantic	89165
come back to me lover	miki howard	Atlantic	89232
come share my love	miki howard	Atlantic	89351
crazy	miki howard	Atlantic	89068
imagination	miki howard	Atlantic	89284
love under new management	miki howard	Atlantic	88766
release me	miki howard	Giant	18676
until you come back to me	miki howard	Atlantic	87934
that's what love is	miki howard (duet with gerald levert)	Atlantic	89123
i promise	mikki bleu	EMI	50228
knocks me off my feet	mikki bleu	EMI	50279
something real	mikki bleu	EMI	50192
the doo-bop song	miles davis	Warner	18930
heaven	miles jaye	Island	99136
i'll be there	miles jaye	Island	99185
i've been a fool for you	miles jaye	Island	99379
irresistible	miles jaye	Island	98970
let's start love over	miles jaye	Island	99413
objective	miles jaye	Island	99228
sensuous	miles jaye	Island	868268
go outside in the rain	milira	Apollo/Motown	2029
mercy mercy me (the ecology)	milira	Apollo/Motown	2038
one man woman	milira	Apollo/Motown	2156
all or nothing	milli vanilli	arista	9923
baby don't forget my number	milli vanilli	arista	9832
blame it on the rain	milli vanilli	arista	9904
girl i'm gonna miss you	milli vanilli	arista	9870
girl you know it's true	milli vanilli	arista	9781
a child of god (it's hard to believe)	millie jackson	Spring	119
all the way lover	millie jackson	spring	179
ask me what you want	millie jackson	spring	123
breakaway	millie jackson	spring	134
didn't i blow your mind	millie jackson	Spring	3007
hot! wild! unrestricted! crazy love!	millie jackson	Jive	1007
how do you feel the morning after	millie jackson	spring	147
hurts so good	millie jackson	spring	139
i can't say goodbye	millie jackson	Spring	170
i got to try it one time	millie jackson	Spring	144
i miss you baby	millie jackson	spring	131
if loving you is wrong i don’t want to be right	millie jackson	spring	155
if you’re not back in love by monday	millie jackson	spring	175
leftovers	millie jackson	spring	161
love is a dangerous game	millie jackson	Jive	1009
my man a sweet man	millie jackson	spring	127
never change lovers in the middle of the night	millie jackson	Spring	192
something you can feel	millie jackson	Jive	1111
sweet music man	millie jackson	Spring	185
do you wanna make love	millie jackson and issac hayes	Spring	2036
automatic	millie scott	4th & B'way	7427
love me right	millie scott	4th & B'way	7443
my boy lollipop	millie small	smash	1893
sweet william	millie small	smash	1920
guaranteed for life	millions like us	virgin	99412
be my life's companion	mills brothers	decca	27889
cab driver	mills brothers	dot	17041
glow worm	mills brothers	decca	28384
my shy violet	mills brothers	dot	17096
nevertheless	mills brothers	decca	27253
queen of the senior prom	mills brothers	decca	30299
the jones boy	mills brothers	decca	28945
the ol' race track	mills brothers	dot	17162
yellow bird	mills brothers	dot	15858
this world we love in	mina	time	1030
a groovy kind of love	mindbenders	fontana	1541
ashes to ashes	mindbenders	fontana	1555
game of love	mindbenders	fontana	1509
it's just a little bit too late	mindbenders	fontana	1514
candy and cake	mindy carson	RCA	3681
wake the town and tell the people	mindy carson	Columbia	40537
i think i'm over you	mini curry	Total Exp	2707
here we go	minnie riperton	Capitol	4902
inside my love	minnie riperton	epic	50128
lover and friend	minnie riperton	Capitol	4761
lovin' you	minnie riperton	epic	50057
memory lane	minnie riperton	Capitol	4706
breakin' my heart	mint condition	perspective	0004
breakin' my heart (pretty brown eyes)	mint condition	Perspective	0004
forever in your eyes	mint condition	perspective	0009
nobody does it betta	mint condition	Perspective	7434
so fine	mint condition	Perspective	7478
someone to love	mint condition	Perspective	7454
u send me swingin'	mint condition	Perspective	7439
(come 'round here) i'm the one you need	miracles	tamla	54140
a love she can count on	miracles	tamla	54078
abraham martin and john	miracles	tamla	54184
ain't it baby	miracles	tamla	54036
baby baby don't cry	miracles	tamla	54178
bad girl	miracles	chess	1734
come on do the jerk	miracles	tamla	54109
crazy about the la la la	miracles	tamla	54206
do it baby	miracles	tamla	54248
doggone right	miracles	tamla	54183
don't cha love it	miracles	tamla	54256
don't let it end	miracles	tamla	54237
everybody's gotta pay some dues	miracles	tamla	54048
going to a go-go	miracles	tamla	54127
here i go again	miracles	tamla	54183
i can't stand to see you cry	miracles	tamla	54225
i don't blame you at all	miracles	tamla	54205
i gotta dance to keep from crying	miracles	tamla	54089
i like it like that	miracles	tamla	54098
i second that emotion	miracles	tamla	54159
i'll try something new	miracles	tamla	54059
if you can want	miracles	tamla	54162
love machine (part 1)	miracles	tamla	54262
mickey's monkey	miracles	tamla	54083
more love	miracles	tamla	54152
my girl has gone	miracles	tamla	54123
ooo baby baby	miracles	tamla	54113
point it out	miracles	tamla	54189
satisfaction	miracles	tamla	54211
shop around	miracles	tamla	54034
special occasion	miracles	tamla	54172
tears of a clown	miracles	tamla	54199
that's what love is made of	miracles	tamla	54102
the love i saw in you was just a mirage	miracles	tamla	54145
the man in you	miracles	tamla	54092
the tracks of my tears	miracles	tamla	54118
we've come too far to end it now	miracles	tamla	54220
what's so good about good-by	miracles	tamla	54053
who's gonna take the blame	miracles	tamla	54194
whole lot of shakin' in my heart	miracles	tamla	54134
yester love	miracles	tamla	54167
you've really got a hold on me	miracles	tamla	54073
in the midnight hour	mirettes	revue	11004
malayisha	miriam makeba	reprise	0654
pata pata	miriam makeba	reprise	0606
thunder and lightning	miss thang	Tommy Boy	889
how deep is the ocean	miss toni fisher	signet	276
the big hurt	miss toni fisher	signet	275
west of the wall	miss toni fisher	big top	3097
destination unknown	missing persons	capitol	5161
give	missing persons	capitol	5326
walking in l.a.	missing persons	capitol	5212
windows	missing persons	capitol	5200
words	missing persons	capitol	5127
show a little love	mission	Columbia	07189
where i wanna be boy	missjones	StepSun	7144
indo smoke	mista grimm	epic	77256
mistrusted love	mistress	rso	1009
anything at all	mitch malloy	rca	62196
nobody wins in this war	mitch malloy	rca	62270
do-re-mi	mitch miller	columbia	41499
join the cavalry	mitch miller	columbia	41424
march from the river kwai and colonel bogey	mitch miller	columbia	41066
song of the sparrow	mitch miller	columbia	40772
the children's marching song	mitch miller	columbia	41317
the longest day	mitch miller	columbia	42585
theme song from "song for a summer night	mitch miller	columbia	40730
yellow rose of texas	mitch miller	columbia	40540
(you’ve got) personality & chantilly lace	mitch ryder and the detroit wheels	dynovoice	905
break out	mitch ryder and the detroit wheels	new voice	811
devil with a blue dress on & good golly miss molly	mitch ryder and the detroit wheels	new voice	817
jenny take a ride!	mitch ryder and the detroit wheels	new voice	806
joy	mitch ryder and the detroit wheels	new voice	824
little latin lupe lu	mitch ryder and the detroit wheels	new voice	808
sock it to me baby!	mitch ryder and the detroit wheels	new voice	820
sugar bee	mitch ryder and the detroit wheels	dot	17290
too many fish in the sea & three little fishes	mitch ryder and the detroit wheels	new voice	822
what now my love	mitch ryder and the detroit wheels	dynovoice	901
you are my sunshine	mitch ryder and the detroit wheels	new voice	826
caribbean	mitchell torok	guyden	2018
mexican joe	mitchell torok	guyden	2028
pink chiffon	mitchell torok	guyden	2034
pledge of love	mitchell torok	decca	30230
i had a talk with my man	mitty collier	Chess	1907
i'm your part time love	mitty collier	Chess	1871
